many,name,price,type,auction,cashshop,point1,point2
11130,[BTS] 러브 인 스완,2.1,4,1,0,1,1
4974,꿈의 인도자,1,1,1,0,1,1
4730,로드 라비린스,18,1,1,0,1,1
3409,인형의 꿈,125,2,1,0,1,1
3231,프롱 루즈핏,8.2,3,1,0,1,1
3007,나도 예티,0.26,3,0,0,1,1
2403,뭉게뭉게 구름 원피스,0,6,0,0,1,1
2364,약속의 끝,128.9,1,1,0,1,1
2273,핑크빈 후디,0,6,0,0,1,1
1975,호수 물결,15,1,0,0,1,1
1827,특대 사이즈 와이셔츠,1.76,3,1,0,1,1
1677,이그니스,4.3,2,1,0,1,1
1630,푸른 악몽 슈트,0.54,4,1,0,1,1
1487,사랑의 메신쥐 한벌옷,4.5,4,0,0,1,1
1335,그림자 영주,4.4,1,1,0,1,1
1323,팔랑 유령 러플,0.77,3,1,0,1,1
1311,셜록,8.07,2,1,0,1,1
1232,프레피 멜빵,0,6,0,0,1,1
1141,달빛 대공자,7.1,1,1,0,1,1
1140,한겨울 뽀글 후드,0,6,0,0,1,1
1134,[BTS] 퍼플 포엠,1.5,4,1,0,1,1
1075,다람곰 소년 단원,1.28,3,1,0,1,1
1054,홍빛색동,0.9,6,1,0,1,1
1051,스칼렛 드림,3.3,4,1,1,1,1
1047,소원 배달원 유니폼,6.4,2,1,0,1,1
1024,스페셜 가드너,0,6,0,0,1,1
1011,별빛 대공녀,21.8,1,1,0,1,1
955,체크메이트 퀸,2.88,2,1,0,1,1
945,꿈의 여행,3.44,2,1,0,1,1
888,진주 구름,3.52,2,1,0,1,1
873,별의 기록자,4.28,2,1,0,1,1
848,실버 엔젤,2.97,2,1,0,1,1
817,미스터리 스펠,3.88,2,1,0,1,1
816,포근한 꿈,2.88,4,1,1,1,1
812,베리타스,8.5,2,1,0,1,1
809,신선 수련복,0,6,0,0,1,1
758,난빛 단아,15,1,0,0,1,1
754,그림자 성주,2.8,1,1,0,1,1
744,마롱 글라세,6,4,1,1,1,1
735,신선 놀음 한벌옷,0,6,2,0,1,1
734,예그리나 한벌옷,0.98,4,1,0,1,1
719,메이플 갤럭시 우주복,0,6,2,0,1,1
718,햇살 여우 꼬까옷,2.77,2,1,0,1,1
710,행운 가득 클로버 한벌옷,0,6,2,0,1,1
678,검은 정장,1.33,5,1,1,1,1
646,우리네 멜빵바지,0.23,3,1,2,1,1
645,퀼팅 패션왕,0.18,3,1,2,1,1
641,유능한 테일러,3.2,2,1,2,1,1
601,테니스 유니폼,4,4,1,2,1,1
599,순수한 은하,4,2,1,2,1,1
587,메이플 바캉스 의상,0,6,2,2,1,1
573,블루 드림,5.4,4,1,1,1,1
560,녹옥 눈수정,0.77,3,1,2,1,1
548,오데트 튀튀,0.54,3,1,2,1,1
542,러블리 체크,0.38,3,1,2,1,1
532,밤산책 한벌옷,4.1,2,1,2,1,1
529,이슬 새랑,59.66,2,1,2,1,1
518,고요한 은하,2.3,2,1,2,1,1
512,복숭아 멜빵,0.5,3,1,2,1,1
501,달콩 계란과자,24.98,2,1,2,1,1
468,블랙 삼각 수영복,0,5,2,1,1,1
466,바삭 튀김 옷,0.93,3,1,2,1,1
464,타미노 아리아,89,2,1,2,1,1
461,폭주 스우 가운,0.45,3,1,2,1,1
459,이글아이 원더러코트,0.01,5,1,1,1,1
457,봄의 낭만,1.5,3,1,2,1,1
452,월묘 옷,0,6,2,2,1,1
441,그랜드 마스터 유니폼,0,6,2,2,1,1
437,알이닭,0,6,2,2,1,1
436,새벽 반디,0.55,3,1,2,1,1
434,블랙 드림,2.55,4,1,1,1,1
419,카리아인 슈트,0.37,3,1,2,1,1
412,루디의 옷,0,6,2,2,1,1
410,바이올렛 드림,2.24,4,1,1,1,1
402,물빛 여울,3.33,2,1,2,1,1
399,로드 카멜리아,7.1,2,1,2,1,1
395,메이플 노블 슈트,0,6,2,2,1,1
384,캔디 시럽,0,6,2,2,1,1
384,눈사람 옷,0,6,2,2,1,1
367,포근 발그레,44.9,2,1,2,1,1
367,맑은 이슬,145,1,1,2,1,1
367,고운 매화,30.5,2,1,2,1,1
358,오르카 잠옷,1.33,3,1,2,1,1
357,달빛 샤베트,131.5,2,1,2,1,1
353,스노우 롱패딩,0,6,2,2,1,1
336,이글아이 워리어아머,0.01,5,1,1,1,1
326,이글아이 어새신셔츠,0.01,5,1,1,1,1
324,레이디 카멜리아,4,2,1,2,1,1
323,칠흑의 날개 코트,0.55,3,1,2,1,1
322,블루 서커스 판타지,5.48,2,1,2,1,1
321,흑백영화 주인공,0.45,3,1,2,1,1
321,하트 나라의 메이플,0.35,3,1,2,1,1
318,붕어빵 봉투,0.4,3,1,2,1,1
