many,name,price,type,auction,cashshop,point1,point2
8153,미궁의 연무,4.2,1,1,2,1,1
7455,별의 전령,8.42,1,1,2,1,1
6257,웨이브의 야광봉,0,6,1,2,1,1
5071,[BTS] 라스트 페더,0.358,4,1,2,1,1
4384,피의 서약,194,1,1,2,1,1
4377,샤키엘의 검,4.9,4,1,2,1,1
3743,무한성단,30,1,1,2,1,1
3710,꽃보다 나비,3.5,3,1,2,1,1
3500,여명의 빛,8.4,1,1,2,1,1
2403,뭉게뭉게 구름 풍선,0,6,1,2,1,1
2362,드림래빗,0.8,4,1,1,1,1
2246,무영도,1,3,1,2,1,1
2043,죽음의 키읔,1.35,4,1,2,1,1
2021,망각의 등불,8,1,1,2,1,1
1613,예티 마이크,0,6,1,2,1,1
1611,오로라 왈츠,2.57,2,1,2,1,1
1597,얼음누각,55.5,1,1,2,1,1
1466,푸른 악몽 한 송이,0.66,3,1,2,1,1
1408,베에모트의 검,7,4,1,2,1,1
1360,꿈꾸는 여행가,1.6,2,1,2,1,1
1230,쿵떡 쿵떡!,0.7,3,1,2,1,1
1163,사신의 날개,6.33,3,1,2,1,1
1105,행운 가득 클로버,0,6,1,2,1,1
1076,햇살 여우 친구들,1.11,2,1,2,1,1
1065,심연의 운율,2,2,1,2,1,1
1058,소원가득 크로스백,3.88,2,1,2,1,1
1030,야누스의 검,7.77,4,1,2,1,1
935,캔디 클라우드,0,6,1,2,1,1
912,다람곰 카메라,0.83,3,1,2,1,1
880,대나무 검,0,6,1,2,1,1
878,신선의 반딧불,0,6,1,2,1,1
854,산호의 노래,1,2,1,2,1,1
853,메이플 노블 로드,0,6,1,2,1,1
853,퐁퐁 메이플,0.3,4,1,2,1,1
836,죽음의 데스,3000,1,1,2,1,1
810,칠흑의 날개,0.49,3,1,2,1,1
786,에메랄드의 시,0.55,2,1,2,1,1
766,체스퀸 하트,2.3,2,1,2,1,1
702,천상묵화,8,1,1,2,1,1
689,높이높이 링,2.11,2,1,2,1,1
687,이그나이트,7.88,2,1,2,1,1
652,그림자 검,4.4,2,1,2,1,1
648,눈수정 지팡이,2.25,2,1,2,1,1
637,수정 지휘봉,2.99,2,1,2,1,1
610,실버벨,1.22,2,1,2,1,1
607,[BTS] 아미밤,0.41,4,1,2,1,1
595,글로리온 의장검,0,6,1,2,1,1
548,문라이트 램프,2.29,2,1,2,1,1
536,하늘 꽃나비,2.1,2,1,2,1,1
526,아기곰 밤산책,2.11,2,1,2,1,1
509,검은 파도,4.98,2,1,2,1,1
507,단팥 붕어빵,0.5,3,1,2,1,1
502,요정 웡키의 야광 나뭇잎,0,6,1,2,1,1
484,따스한 마음,1.9,2,1,2,1,1
440,음악대 지휘봉,0.84,2,1,2,1,1
439,그랜드 마스터 소드,0,6,1,2,1,1
435,콩닭콩닭,0,6,1,2,1,1
413,별의 기록서,3.31,2,1,2,1,1
404,스우의 애착인형,4.77,3,1,2,1,1
402,미스터리 클럽,0.97,2,1,2,1,1
397,매지컬 테일러,0.9,2,1,2,1,1
382,괴도팬텀의 케인,1.53,3,1,2,1,1
370,언제나 바다,0.66,2,1,2,1,1
369,캔디 엔젤,19.1,2,1,2,1,1
349,절대각도,0.63,3,1,2,1,1
343,메이플 갤럭시 레이저건,0,6,1,2,1,1
342,연합 사령관 윙 소드,0,6,1,2,1,1
336,앙트완 회중시계,33,2,1,2,1,1
331,낭만 폼폼꽃,0.49,4,1,2,1,1
330,벚꽃 우산,7.27,2,1,2,1,1
326,핑크빈의 맛있는 고기,0,6,1,2,1,1
325,새벽 초롱,0.21,3,1,2,1,1
325,카리아인 스태프,0.27,3,1,2,1,1
319,쿨썸머 보드,2.39,3,1,2,1,1
316,용마제구검,0,6,1,2,1,1
310,플라워 바스켓,0,6,1,2,1,1
305,커플 메이커,0,6,1,2,1,1
304,나도 데려가!,15.8,2,1,2,1,1
298,포츈 플래쉬,1.89,3,1,2,1,1
292,동백검,4.99,3,1,2,1,1
285,달달 포근,72,2,1,2,1,1
280,레인보우 스타,4,6,1,0,1,1
271,눈송이 캔디,3.8,2,1,2,1,1
271,다람이 봄비,18,2,1,2,1,1
263,제일 무서워,0.28,3,1,2,1,1
247,뉴트로 히어로 소드,0,6,1,2,1,1
243,봄빛 요술봉,0.43,4,1,2,1,1
238,포도알의 마법,0.21,3,1,2,1,1
236,사각 사각,0.18,4,1,1,1,1
231,눈보드레,6.11,2,1,2,1,1
231,폴암의 마하,3.98,4,1,2,1,1
223,마스터 타임,138.8,1,1,2,1,1
220,하보크 대검,0,6,1,2,1,1
213,페어리 플로라,50,1,1,2,1,1
209,진실의 빛,1.11,2,1,2,1,1
207,흑백영화 지팡이,0.25,3,1,2,1,1
206,개구디노,0.45,3,1,2,1,1
205,금빛 자장가,44.5,2,1,2,1,1
204,제네시스 투핸드소드,0.4,5,1,0,1,1
203,꼬마 크레용,21,2,1,2,1,1
202,불맛 삼지창,4.8,2,1,2,1,1
197,메이플 연합 깃발,0,6,1,2,1,1
195,매혹 플루트,8.32,2,1,2,1,1
193,크리스탈 판타지아,1.7,4,1,2,1,1
190,뮤즈 크리스탈,42.7,2,1,2,1,1
188,예그리나,0.2,4,1,2,1,1
188,오르카의 토끼인형,0.38,3,1,2,1,1
182,드래곤 마스터의 완드,0.55,4,1,2,1,1
182,하트 다이어리,0.19,3,1,2,1,1
178,몽실 곰사탕,24.9,2,1,2,1,1
176,커플 브레이커,0,6,1,2,1,1
175,빛과 어둠의 샤이닝로드,1.43,4,1,2,1,1
173,눈동구리,0.31,3,1,2,1,1
173,메이플 트렌디 태블릿,0,6,1,2,1,1
172,분필은 사랑을 싣고,5,2,1,2,1,1
171,매직 워드,1.79,4,1,1,1,1
171,아기 오리 크로스백,1.95,3,1,2,1,1
171,카멜리아 티타임,1,2,1,2,1,1
170,여제의 품격,2.44,2,1,2,1,1
169,아케인셰이드 투핸드소드,0.4,5,1,2,1,1
164,아라매화,7.2,2,1,2,1,1
163,선향묵화,8,1,1,0,1,1
162,용맹 백호,0.33,3,1,2,1,1
157,엘프 왕의 듀얼보우건,0.72,4,1,2,1,1
156,바나나 우유,0.33,3,1,2,1,1
156,파프니르 다마스커스,0.4,5,1,2,1,1
153,저택의 품격,0.05,3,1,2,1,1
148,살랑 강아지풀,4.78,2,1,2,1,1
144,요리의 완성,0.46,3,1,2,1,1
141,퍼니펀치 요요,0.28,3,1,2,1,1
140,메이플M 플레이폰,0,6,1,2,1,1
139,커스드 보우,0.91,3,1,2,1,1
131,램프의 요정 웡키,0,6,1,2,1,1
131,크로스 캠핑 머그,0.21,3,1,2,1,1
130,잊혀진 영웅의 너클,0.55,4,1,2,1,1
127,사령채찍,5.55,2,1,2,1,1
125,뽀송송 복둥이,0.24,3,1,2,1,1
125,파도검,8.1,2,1,2,1,1
124,블록 친구들,0.3,3,1,2,1,1
121,라즐리 9형,0.4,5,1,0,1,1
120,핑크빈 허그 쿠션,0.2,3,1,2,1,1
118,테니스 라켓,0.3,3,1,2,1,1
117,파프니르 마나크라운,0.4,5,1,2,1,1
116,입술 위 하트,0.22,3,1,2,1,1
115,단호한 철퇴,0.88,3,1,2,1,1
115,푸른바다 수국,13,2,1,2,1,1
113,차원의 사서,8.8,2,1,2,1,1
110,치어팡팡,3000,2,1,2,1,1
108,랄랄라 대파,3.2,3,1,2,1,1
108,버블데블 건,0.37,3,1,2,1,1
105,뉴트로 소드,0,6,1,2,1,1
105,마법 박쥐,7.7,4,1,2,1,1
103,차가운 봉인,0.55,3,1,2,1,1
102,파프니르 펜리르탈론,0,7,1,2,1,1
101,아케인셰이드 스태프,0,7,1,2,1,1
100,제네시스 스태프,0,7,1,2,1,1
98,아스카론,0,7,1,2,1,1
98,앱솔랩스 브로드세이버,0,7,1,2,1,1
94,메이플블리츠X 전략가의 전장,0,6,1,2,1,1
93,봉인된 제네시스 투핸드소드,0,7,1,2,1,1
